,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
38,0.0,5853051.1853634715,720196.2380046265,23329.984598718802,349029.8344163627,1868.7692617284115
39,0.0,5830111.942646907,717068.1877720623,23257.82700972775,347676.02016874886,1599.0230732674383
40,0.0,5807449.761804793,713678.8901246967,23159.574153559453,346174.02786400676,1650.0
41,0.0,5784774.3367796885,710528.6594897851,23067.483833342314,344804.12215453055,1650.0
42,0.0,5762338.729800375,707141.3979464802,23012.662914974335,343181.05291873566,1514.7498629893971
43,0.0,5739771.250164655,703913.340336463,22943.938705597433,341848.02013744484,1500.0
44,0.0,5717456.587738659,700988.1875421199,22831.0366794137,340483.6573946762,1678.6101888523274
45,0.0,5695278.952111456,697890.0019512647,22739.88882355149,339290.8579262744,1299.983025830151
46,0.0,5672725.2229581075,694511.5519273093,22690.78410696772,338028.94078308047,968.0727783375448
47,0.0,5648586.700300274,691309.5843164227,22567.720441108722,336560.85178484995,1050.0
48,0.0,5624465.2983685825,688356.7561394756,22458.662193372646,335285.48837251094,1200.0
49,0.0,5600922.021025122,685298.5204033297,22336.872964069225,334075.0798723646,1375.2350316960328
50,0.0,5577250.571593145,682283.6263015673,22270.934525068944,332728.3724367781,1696.1602136510573
51,0.0,5552807.471048564,679190.7175262402,22191.353051280905,331433.30216095777,1473.8669922308354
52,0.0,5528708.999248833,675889.5555653356,22119.77781801023,330163.1183067078,1425.4993525382997
53,0.0,5505886.011315335,672775.0479934693,22068.537819435947,328983.33987979457,1500.0
54,0.0,5481439.448272547,669680.4885582437,21993.922085756938,327701.81228101056,1553.3892986110893
55,0.0,5456791.032791828,666500.7450228813,21930.32001992078,326275.45938430144,1500.0
56,0.0,5432569.801668519,663252.4105473792,21881.717552586302,325025.1139526983,1276.5260133610368
57,0.0,5407529.565507239,660005.203483767,21778.66061919353,323952.03036452853,1318.1270824364708
58,0.0,5382047.019265921,656776.5213691074,21646.79995466882,322643.57500022923,1337.896421773174
59,0.0,5364679.535376815,653686.3281793848,21583.339837315012,321572.6429805359,923.4832605195718
60,0.0,5366699.748464396,650522.7503633135,21536.11364601916,320411.2299674384,900.0
61,0.0,5342644.832614415,647457.8104792008,21514.249186901834,318982.96042600856,1200.0
62,0.0,5317309.361486959,644434.4718951569,21520.402837878635,317728.674776949,1650.0
63,0.0,5292388.975252751,641166.2776058972,21498.15388309448,316430.8965533405,1650.0
64,0.0,5266687.031341104,638301.9857773852,21418.53958791663,315376.46335093176,1877.645568018228
65,0.0,5241743.190782989,635108.6249291464,21345.970763727117,314205.6739637268,1576.855279725516
66,0.0,5216325.580479359,632006.2274098941,21287.746402540866,313182.4806531624,1553.726275197169
67,0.0,5191418.536360446,628929.6174248849,21241.552206380915,311924.55348625936,1310.0755693551678
68,0.0,5165718.058299461,626058.3877317609,21178.61892615174,310749.01395170996,1195.7147536257994
