,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
66,0.0,9083679.555584332,1213938.7095158182,39710.740396892754,595520.3544227176,3074.4610553576385
67,0.0,9050038.937482482,1209330.8315350057,39581.728782467035,593197.9501686043,2782.193775863234
68,0.0,9015420.561259614,1205018.2449020902,39519.07808745437,591040.3237233054,2545.7147536257994
69,0.0,8980272.308831476,1200689.966177463,39398.14220228718,588781.2549069711,3012.537062930305
70,0.0,8945096.275767177,1196378.8348868045,39291.007281981394,586381.0357030993,2568.0233805939038
71,0.0,8908699.366899049,1191926.426185504,39213.3999049902,583979.8032789966,2528.7319063501636
72,0.0,8872670.07015448,1187142.9937899108,39126.68519134692,581759.1783196217,2331.1592834037256
73,0.0,8836270.656722393,1182730.0998991327,38996.12261607141,579522.4568284041,2138.816223481587
74,0.0,8799645.763747828,1177994.1287716154,39213.31573579268,577591.0560490474,2020.0692989472682
75,0.0,8762367.649859088,1173439.824225887,39167.73251806398,575568.0013513458,1950.0
76,0.0,8726239.426273692,1169243.6415308707,39068.670844595305,573418.747381747,2334.1547102664113
77,0.0,8688647.46523383,1164878.8359039023,38891.23723259454,571559.6966351673,2099.993148153529
78,0.0,8650445.674120389,1160795.7412399538,38836.33794616377,569657.6279448417,2797.2118742302937
79,0.0,8612800.344647814,1156275.8863880394,38698.23153475106,567871.0371846367,3336.7887338246755
80,0.0,8575502.594951324,1151698.8239291254,38590.33937879016,565870.7809992438,3285.5364533096745
81,0.0,8536673.241732178,1147368.2034939076,38582.63714377192,563888.8705424756,3393.7309793908835
82,0.0,8497504.606827877,1143125.133773656,38549.748939753285,562040.1343914078,3484.136890254662
83,0.0,8458326.521738103,1138486.3021167542,38372.97190230618,560055.9254708656,3439.46941858238
84,0.0,8419438.040981533,1133882.0512386612,38306.06363757779,558157.5893555147,3395.886442986449
85,0.0,8381602.529137632,1128915.016049424,38194.11043896069,556245.5921748629,3015.556260215724
