1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
98.0,417.0,2067.0,1756.0,220.0,1590.0,1087.0,2316.0,3056.0,2131.0,664.0,3187.0,2496.0,700.0,324.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,388.0,1933.0,1687.0,206.0,1481.0,998.0,2178.0,2864.0,1989.0,620.0,3019.0,2424.0,668.0,302.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,377.0,1883.0,1661.0,201.0,1438.0,960.0,2117.0,2792.0,1943.0,606.0,2959.0,2395.0,659.0,294.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,375.0,1867.0,1653.0,198.0,1429.0,955.0,2103.0,2776.0,1931.0,603.0,2944.0,2391.0,657.0,292.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,376.0,1871.0,1658.0,199.0,1434.0,967.0,2108.0,2790.0,1957.0,604.0,2956.0,2395.0,659.0,298.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,391.0,1909.0,1679.0,203.0,1463.0,993.0,2145.0,2843.0,1996.0,611.0,3002.0,2413.0,669.0,302.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,413.0,1970.0,1707.0,211.0,1513.0,1021.0,2209.0,2940.0,2043.0,627.0,3069.0,2442.0,684.0,307.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,460.0,2127.0,1788.0,230.0,1633.0,1122.0,2372.0,3160.0,2207.0,673.0,3279.0,2532.0,725.0,331.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,518.0,2294.0,1868.0,246.0,1732.0,1208.0,2491.0,3335.0,2327.0,723.0,3480.0,2611.0,751.0,354.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,548.0,2425.0,1923.0,255.0,1856.0,1340.0,2661.0,3569.0,2531.0,763.0,3650.0,2702.0,803.0,379.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,588.0,2541.0,1985.0,264.0,1977.0,1441.0,2841.0,3783.0,2729.0,807.0,3840.0,2791.0,847.0,413.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0
