indx,Date,Cost
116,2019-04-27,3.20080690915968
117,2019-04-28,3.20080690915968
118,2019-04-29,3.20080690915968
119,2019-04-30,3.213213137489756
120,2019-05-01,2.829430406852248
121,2019-05-02,2.873128173753441
122,2019-05-03,2.829430406852248
123,2019-05-04,2.811223003976751
124,2019-05-05,2.7930156011012537
125,2019-05-06,2.774808198225757
126,2019-05-07,2.774808198225757
127,2019-05-08,2.8840526154787396
128,2019-05-09,2.862203732028143
129,2019-05-10,2.8840526154787396
130,2019-05-11,2.9095429795044354
131,2019-05-12,2.9350333435301312
132,2019-05-13,2.960523707555827
133,2019-05-14,2.9495992658305292
134,2019-05-15,2.9386748241052305
135,2019-05-16,2.862203732028143
136,2019-05-17,2.8512792903028443
137,2019-05-18,2.8840526154787396
138,2019-05-19,2.916825940654634
139,2019-05-20,2.9495992658305292
140,2019-05-21,2.9823725910064236
141,2019-05-22,2.9823725910064236
142,2019-05-23,2.7966570816763534
143,2019-05-24,2.8403548485775465
144,2019-05-25,2.854010400734169
145,2019-05-26,2.8676659528907917
146,2019-05-27,2.881321505047415
147,2019-05-28,2.8949770572040374
148,2019-05-29,2.9386748241052305
149,2019-05-30,2.9386748241052305
150,2019-05-31,2.829430406852248
151,2019-06-01,3.239517136117663
152,2019-06-02,3.201554044678784
153,2019-06-03,3.1635909532399054
154,2019-06-04,3.1003191341751073
155,2019-06-05,3.1003191341751073
156,2019-06-06,3.0370473151103092
157,2019-06-07,3.0750104065491883
158,2019-06-08,3.0707922852782015
159,2019-06-09,3.066574164007215
160,2019-06-10,3.062356042736228
161,2019-06-11,3.049701678923269
162,2019-06-12,3.0750104065491883
163,2019-06-13,3.0750104065491883
164,2019-06-14,2.9990842236714306
165,2019-06-15,3.0370473151103092
166,2019-06-16,3.0750104065491883
167,2019-06-17,3.112973497988067
168,2019-06-18,3.0876647703621476
169,2019-06-19,3.0750104065491883
170,2019-06-20,3.01173858748439
171,2019-06-21,2.872540585541834
