NodeELEC,NodeGAS,P2GID,PrimeMover,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,ETA,P2LETA,EconomicLifetime,Lifetime,isBiomethane,isBiomass,InstallYear,ForcedRetirement,MoleFrac_CH4,MoleFrac_H2
25017,25017,EL045,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
25017,25017,MT045,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
25027,25027,BM046,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
25027,25027,EL046,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
25027,25027,MT046,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
34033,34033,BM047,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
34033,34033,EL047,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
34033,34033,MT047,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
34021,34021,BM048,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
34021,34021,EL048,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
34021,34021,MT048,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
36013,36013,BM049,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
36013,36013,EL049,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
36013,36013,MT049,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
42133,42133,BM050,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
42133,42133,EL050,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
42133,42133,MT050,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
