NodeELEC,NodeGAS,GenID,PrimeMover,Fuel,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,isRenewable,HeatRate,isNGFueled,EmissionsFactor,StartupCost,EconomicLifetime,Lifetime,StartupFuel,InstallYear,ForcedRetirement
34005,34005,CS007,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
34005,34005,CC007,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
34005,34005,CT007,Natural gas CT,Natural gas,2.46,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
34005,34005,GT007,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34005,34005,NC007,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
34005,34005,WD007,Onshore wind,Wind,0,100,5,11,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34005,34005,SL007,Solar,Solar,3.64,50,10,154,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34023,34023,CS008,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
34023,34023,CC008,Natural gas CC,Natural gas,3.96,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
34023,34023,CT008,Natural gas CT,Natural gas,0.14,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
34023,34023,PT008,Petroleum CT,Petroleum,2.12,100,100,500,0,0.8,1,1,2,1,0,10.98,0,0,0,55,55,0,0,0
34023,34023,GT008,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34023,34023,BP008,Biopower,Biomass,0.32,100,100,500,0,0.84,1,1,1,1,1,14.5,0,0,0,45,45,0,0,0
34023,34023,NC008,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
34023,34023,WD008,Onshore wind,Wind,0,100,0,0,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
34023,34023,SL008,Solar,Solar,3.22,50,10,52,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42045,42045,CS009,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42045,42045,CC009,Natural gas CC,Natural gas,3.29,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42045,42045,CT009,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
42045,42045,PT009,Petroleum CT,Petroleum,1.35,100,100,500,0,0.8,1,1,2,1,0,10.98,0,0,0,55,55,0,0,0
42045,42045,GT009,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42045,42045,BP009,Biopower,Biomass,0.9,100,100,500,0,0.84,1,1,1,1,1,14.5,0,0,0,45,45,0,0,0
42045,42045,NC009,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42045,42045,WD009,Onshore wind,Wind,0,100,0,0,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42045,42045,SL009,Solar,Solar,0,50,10,29,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42049,42049,CS010,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42049,42049,CC010,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42049,42049,CT010,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
